{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 951.4425254423522, 'time_values': 13.410013198852539}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 1e-05, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 493.62908751302876, 'time_values': 37.87432861328125}
{'fvalues': 495.8706917477417, 'time_values': 38.29072952270508}
{'fvalues': 496.8449867779713, 'time_values': 38.2287712097168}
{'fvalues': 507.1715846984703, 'time_values': 37.84675598144531}
{'fvalues': 500.3274681678621, 'time_values': 37.479454040527344}
{'fvalues': 512.6408218274039, 'time_values': 38.34451675415039}
{'fvalues': 501.67099227850366, 'time_values': 38.043941497802734}
{'fvalues': 499.8860913940985, 'time_values': 37.56150817871094}
{'fvalues': 495.85338435348234, 'time_values': 37.75862503051758}
{'fvalues': 494.26817338040894, 'time_values': 37.782386779785156}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 1e-05, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 10, 'step_schedule': 'constant'}, 'iterations': 5000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 949.7824720166543, 'time_values': 15.735240936279297}
{'fvalues': 950.6433878703264, 'time_values': 15.82995319366455}
{'fvalues': 950.4964181680127, 'time_values': 15.69524097442627}
{'fvalues': 950.2300476422735, 'time_values': 15.691092491149902}
{'fvalues': 948.7604414308453, 'time_values': 15.643592834472656}
{'fvalues': 950.063321580109, 'time_values': 15.71556282043457}
{'fvalues': 948.9560462757668, 'time_values': 15.759416580200195}
{'fvalues': 948.6355030986394, 'time_values': 15.872085571289062}
{'fvalues': 949.9917598885414, 'time_values': 15.918983459472656}
{'fvalues': 947.5103821564235, 'time_values': 15.523285865783691}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 1e-05, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 100, 'step_schedule': 'constant'}, 'iterations': 500, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 995.0492443805094, 'time_values': 13.563664436340332}
{'fvalues': 995.5785016502604, 'time_values': 13.546777725219727}
{'fvalues': 995.136841805983, 'time_values': 13.285491943359375}
{'fvalues': 994.936472283663, 'time_values': 13.291168212890625}
{'fvalues': 995.2441187464016, 'time_values': 13.323389053344727}
{'fvalues': 995.0741810913303, 'time_values': 13.53018569946289}
{'fvalues': 995.0584895719015, 'time_values': 13.412734031677246}
{'fvalues': 995.1630933863753, 'time_values': 13.259808540344238}
{'fvalues': 994.3604484800765, 'time_values': 13.432636260986328}
{'fvalues': 995.5938685405498, 'time_values': 13.635933876037598}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 1e-05, 'reduced_dim': 10, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 496.34372289710535, 'time_values': 37.96758270263672}
{'fvalues': 496.8941221871917, 'time_values': 37.33702087402344}
{'fvalues': 499.26009347803137, 'time_values': 37.21047592163086}
{'fvalues': 490.5208024752027, 'time_values': 37.166404724121094}
{'fvalues': 496.1357676562982, 'time_values': 36.84195327758789}
{'fvalues': 497.58970715478307, 'time_values': 37.20426559448242}
{'fvalues': 507.468344657372, 'time_values': 36.885047912597656}
{'fvalues': 496.7480216649845, 'time_values': 36.0778923034668}
{'fvalues': 501.351975331454, 'time_values': 36.6309814453125}
{'fvalues': 497.85737708114914, 'time_values': 40.347076416015625}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 1e-05, 'reduced_dim': 10, 'mu': 1e-08, 'sample_size': 10, 'step_schedule': 'constant'}, 'iterations': 5000, 'interval': 1000, 'trial_numbers': 10}
